iter	Passed	Remaining
410	4020	5761
411	4029	5751
412	4039	5741
413	4048	5730
414	4057	5720
415	4067	5709
416	4076	5699
417	4086	5690
418	4096	5679
419	4105	5668
420	4114	5659
421	4124	5649
422	4134	5639
423	4144	5629
424	4153	5619
425	4163	5609
426	4172	5599
427	4181	5588
428	4190	5577
429	4199	5567
430	4209	5557
431	4218	5547
432	4228	5536
433	4237	5526
434	4246	5515
435	4256	5506
436	4266	5496
437	4275	5486
438	4285	5477
439	4295	5467
440	4305	5457
441	4314	5446
442	4324	5437
443	4334	5427
444	4344	5417
445	4353	5407
446	4362	5397
447	4372	5387
448	4382	5378
449	4392	5368
450	4402	5359
451	4412	5350
452	4422	5339
453	4431	5329
454	4441	5320
455	4451	5310
456	4460	5300
457	4470	5290
458	4480	5280
459	4489	5270
460	4500	5261
461	4510	5252
462	4520	5242
463	4529	5232
464	4539	5223
465	4549	5213
466	4559	5203
467	4568	5193
468	4578	5183
469	4588	5174
470	4597	5163
471	4606	5153
472	4616	5143
473	4627	5135
474	4637	5125
475	4647	5115
476	4656	5105
477	4665	5095
478	4674	5084
479	4683	5074
480	4693	5063
481	4702	5053
482	4712	5044
483	4722	5034
484	4730	5023
485	4740	5013
486	4750	5003
487	4758	4993
488	4768	4983
489	4778	4973
490	4787	4962
491	4796	4952
492	4805	4942
493	4815	4932
494	4824	4921
495	4834	4911
496	4843	4901
497	4853	4892
498	4864	4883
499	4873	4873
500	4883	4863
501	4892	4853
502	4902	4844
503	4911	4833
504	4920	4823
505	4930	4813
506	4939	4803
507	4948	4792
508	4958	4783
509	4967	4772
510	4977	4762
511	4986	4752
512	4995	4742
513	5005	4732
514	5014	4721
515	5023	4711
516	5032	4701
517	5041	4691
518	5051	4681
519	5060	4671
520	5070	4661
521	5079	4651
522	5089	4641
523	5099	4631
524	5108	4622
525	5117	4611
526	5127	4602
527	5136	4591
528	5145	4581
529	5154	4570
530	5163	4560
531	5172	4549
532	5181	4539
533	5190	4529
534	5200	4519
535	5209	4509
536	5218	4499
537	5227	4489
538	5236	4479
539	5246	4469
540	5255	4458
541	5265	4449
542	5274	4438
543	5282	4428
544	5291	4417
545	5300	4407
546	5309	4397
547	5319	4387
548	5328	4377
549	5338	4367
550	5347	4357
551	5357	4347
552	5366	4337
553	5375	4327
554	5384	4317
555	5394	4308
556	5404	4298
557	5415	4289
558	5425	4280
559	5434	4270
560	5444	4260
561	5453	4250
562	5463	4240
563	5473	4231
564	5483	4221
565	5493	4212
566	5502	4202
567	5511	4192
568	5521	4182
569	5530	4172
570	5540	4162
571	5549	4152
572	5559	4142
573	5568	4132
574	5578	4123
575	5587	4112
576	5597	4103
577	5606	4093
578	5615	4083
579	5625	4073
580	5634	4063
581	5643	4053
582	5653	4043
583	5662	4033
584	5672	4024
585	5681	4014
